;Infracciones;AOL;Suspensiones;Juicio Experto;N° Dest Sin AOL;Ton Dest SIN AOL;N° Patentes Utilizadas;Prom Días (Fecha Recurso a Fecha Declaración);N° Regiones destino;N° Transacciones;N° Destinatarios;N° Especies Visadas;N° Declaraciones Origen;Toneladas Abastecimiento;Abastecimiento DA;Abastecimiento DI;Abastecimiento COM;N° Declaraciones de Proveedor;Toneladas Destinos;N° Declaraciones Abastecimiento;Toneladas Stock;N° Declaraciones Destinos;Toneladas Visadas;N° Solicitudes AOL;Prom Tons AOL
Kingsley Coman | Bayern (loan Juve) & Fra;2;0;0;;6;0,49;5;31;3;30;8;3;15;3,09;0;0;3,09;14;1,85;13;1,45;17;1,495;13;0,12
German Conti | Colon & Argentina*;2;0;0;;5;3,02;3;3;1;12;2;4;7;6,03;0;0;6,03;6;6,03;6;0,00;6;4,28;4;1,07
Ante Coric | Dinamo Zagreb & Croatia;2;0;0;;2;0,13;3;4;3;39;22;1;4;1,88;0;0;1,875;4;1,88;4;0,00;35;1,745;34;0,05
Angel Correa | Atletico Madrid & Argentina;2;0;0;;1;0,22;4;11;3;18;4;5;9;13,24;13,04;0;0,2;9;13,46;8;0,00;10;14,202;10;1,42
Diego Costa | Chelsea & Spain;2;0;0;;0;0,00;2;0;1;6;1;1;3;4,96;4,96;0;0;3;4,96;3;0,00;3;4,96;3;1,65
Benoit Costil | Rennes & France*;2;0;0;;0;0,00;5;1;5;14;5;1;8;1,06;1,062;0;0;8;1,06;7;0,00;7;1,062;7;0,15
Thibaut Courtois | Chelsea & Belgium;2;2;0;;0;0,00;15;3;3;107;11;7;30;2,04;0;0;2,035;28;1,86;28;0,17;79;20,002;81;0,25
Philippe Coutinho | Liverpool & Brazil;2;0;0;;0;0,00;3;6;1;9;6;3;2;0,75;0;0;0,75;2;0,75;2;0,00;7;2,65;7;0,38
Adrian Cubas | Boca Juniors & Argentina*;2;1;0;;0;0,00;18;9;2;85;15;4;22;4,60;0;0;4,595;20;3,75;19;0,85;66;15,889;66;0,24
Moanes Dabour Grasshoppers & Israel;2;0;0;;0;0,00;3;22;1;15;5;5;6;0,21;0;0;0,21;6;0,19;6;0,02;9;0,403;9;0,04
Mahmoud Dahoud | Gladbach & Germany*;1;77;0;;783;30,70;15;11;3;2120;83;29;252;95,04;0;0;94,743;251;84,16;225;12,61;1.895;169,118;1.176;0,14
